Position,Annual Salary in Dollar,Date Hired
Social Worker,73935,2003
Social Worker,73935,1997
Social Worker,73935,1997
Social Worker,73935,1989
Sanitarian,73935,1998
Sanitarian,73935,1985
Sanitarian,73935,1999
"Superintendent, Bl Pl Opr",73923,2000
Investigator,73894,1981
Auditor (tax),73894,1997
Auditor (tax),73894,2006
Social Worker,73894,2000
Appraiser,73894,2005
Ntcm Technical Liaison,73894,2004
Facilitators,73894,2008
Qsr & Case Practice Specialist,73894,2008
Auditor (tax),73894,2009
Public Space Coordinator,73894,2006
Auditor (tax),73894,2005
Investigator,73894,1986
Contract Specialist,73894,1993
Transp Spec (sch Tran Sub Pro),73894,1985
Engineering Technician,73894,2002
Environmental Protection Speci,73894,2009
Social Worker,73894,2007
Program Analyst,73894,1995
Program Analyst,73894,2005
Environmental Specialist,73894,2007
Engineering Technician,73894,2005
Program Analyst,73894,1981
Engineering Technician,73894,2002
Transportation Engineer,73894,2006
Social Worker,73894,2007
Social Service Assistant,73894,2007
Contract Compliance Monitor,73894,1969
Social Worker,73894,2007
Program Monitor,73894,2002
Social Worker,73894,2003
Social Worker,73894,2003
Claims Specialist,73894,2006
Resource Development Specialist,73894,1987
Resource Development Specialist,73894,1996
Contract Specialist,73894,2010
Social Worker,73894,2007
Social Worker,73894,2002
Social Worker,73894,2006
Investigator,73894,2001
Social Worker,73894,1987
Social Worker,73894,2002
Contract Specialist,73894,2007
Icpc Specialist,73894,2005
Resource Development Specialist,73894,2007
Invest Fraud,73894,2008
Intake Hotline Worker,73894,1995
Social Worker,73894,2003
Intake Hotline Worker,73894,1992
Videographer,73894,2002
Program Specialist,73894,2006
Program Analyst,73894,1992
Audiovisual Prod Specialist,73894,1998
Forensic Scientist,73894,2005
Comb Code Comp Specialist,73894,2010
Engineering Technician,73894,2006
Engineering Technician,73894,2000
Program Analyst,73894,1988
Housing Financial Anal,73894,2009
Investigator,73894,2003
Forensic Scientist,73894,2004
Comb Code Comp Specialist,73894,2009
Grants Analyst,73894,1991
Firearms Identification Specialist,73894,2010
Unemploy Comp Claims Examiner,73894,1993
Engineering Technician,73894,2007
Librarian,73894,2004
Engineer,73894,2006
Workers Comp Claims Examiner,73894,1990
Fire Protection Engineer,73894,2007
Engineering Technician,73894,2009
Civil Engineer,73894,2002
Contract Compliance Monitor,73894,1999
Contract Specialist,73894,1976
Grants Management Specialist,73894,1986
Engineering Technician,73894,1987
Engineering Technician,73894,1983
Environmental Protection Speci,73894,1988
Engineering Technician,73894,1983
Engineering Technician,73894,1991
Engineering Technician,73894,2007
Engineering Technician,73894,1974
Engineering Technician,73894,2003
Vocational Rehabilitation Specialist,73894,2010
Engineering Technician,73894,2007
Information Technology Specialist,73894,2000
Program Analyst,73894,2002
Grant Management Specialist,73894,2007
Vocational Rehabilitation Specialist,73894,2010
Public Health Analyst,73894,2010
Transportation Engineering Tec,73894,2003
Investigator,73894,2002
Public Health Analyst,73894,2006
Transportation Engineering Tec,73894,1983
Engineering Technician,73894,1983
Blind Rehabilitation Specialis,73894,2007
Administrative Specialist,73894,1995
"Instructor, jrotc",73834,1999
Program Specialist,73816,2009
Program Specialist,73816,2010
Human Resource Specialist,73816,2011
Program Specialist,73816,2009
Investigator,73816,2000
Program Specialist,73816,2008
Supervisor,73816,2009
Program Specialist,73816,2009
Program Specialist,73816,2009
Project Manager,73816,2008
Program Specialist,73816,2010
Assoc Professor,73815,2004
Correctional Officer,73783,1984
Social Services Represen,73783,1985
Recycling Program Officer,73783,1991
Correctional Officer,73783,1984
Correctional Officer,73783,1988
Social Services Rep,73783,1986
Social Services Rep,73783,1977
Human Resources Spec Emp Ben,73729,1973
Auxiliary Serv Bus Manager,73729,2010
Records Officer,73729,1975
Graduate Coord/recruiter,73729,2005
Human Resources Specialist,73729,1972
Fire Inspector,73708,1991
Fire Inspector,73708,1992
Fire Inspector,73708,1992
Fire Inspector,73708,1992
Fire Inspector,73708,1992
Fire Inspector,73708,1992
Fire Inspector,73708,1990
Administrative Officer,73648,2007
Assoc Professor,73642,2005
Psychologist,73633,2009
Forensic Clinical Administrato,73611,1999
Social Services Rep,73523,1994
Paramedic Firefighter,73498,1992
Paramedic Firefighter,73498,1992
Paramedic Firefighter,73498,1990
Social Services Rep,73465,1994
Assistant Watch Commander,73465,1986
Youth Development Rep,73465,1988
Solid Waste Inspection Officer,73465,1977
Youth Development Rep,73465,1994
Social Services Rep,73465,1985
Quality Control Examinr,73465,1984
Customer Service Representative,73465,1979
Quality Control Exam,73465,1983
Management Analyst,73465,2001
Manpower Dev Specialist,73465,1986
Solid Waste Inspectr Ofr,73465,1985
Program Specialist,73463,1996
Assoc Professor,73451,2003
Lieutenant,73439,2001
Lieutenant,73439,2000
Lieutenant,73439,2000
Lieutenant,73439,2000
Lieutenant,73439,2000
Lieutenant,73439,2000
Teacher,73429,2009
Benefits Specialist,73429,1989
Teacher,73429,2004
Teacher,73429,2008
Teacher,73429,2009
"Psychologist,school",73429,2008
Director,73429,1983
Teacher,73429,2004
Instructional Coach,73429,2009
Literacy Coach,73429,2011
Teacher,73429,2005
Teacher,73429,2004
Food Service Regional Manager,73429,2007
Teacher,73429,2003
Administrative Officer,73357,1985
Nurse,73339,2011
Psychiatric Nurse,73339,2005
Psychiatric Nurse,73339,2006
Workers Compensation Recipient,73320,1981
Correctional Officer,73268,1982
Associate Registrar,73265,1968
Executive Assistant,73265,2003
Program Coor,73265,1972
Dental Officer (periodontics),73219,2007
Trial Attorney,73159,2006
Trial Attorney,73159,2010
Trial Attorney,73159,2005
Attorney Advisor,73159,2010
Trial Attorney,73159,2009
Trial Attorney,73159,2010
Trial Attorney,73159,2010
Sergeant,73135,1996
Sergeant,73135,1996
Sergeant,73135,1992
Sergeant,73135,1996
Sergeant,73135,1994
Sergeant Aide,73133,1997
Sergeant Aide,73133,1997
Sergeant,73133,1997
General Engineer,73085,1996
Logistics Specialist,73085,1979
Staff Assistant,73069,2005
Office Manager,73069,1999
Budget Analyst,73069,2009
Budget Analyst,73069,1985
Accountant,73069,2009
Payroll Manager,73069,1999
Administrative Officer,73069,1989
Executive Assistant,73069,1985
Investigator,73069,2009
Accountant,73069,1990
Budget Analyst,73069,1988
Pension Benefits Specia,73069,1991
Budget Analyst,73069,2008
Program Specialist,73069,1994
Accountant,73069,1989
Program Specialist,73069,1992
Budget Analyst,73069,2009
Assoc Professor,73055,2003
Dep Director For Latino Affair,73000,2005
Program Analyst,73000,2011
Manpower Dev Specialist,73000,2011
Program Analyst,73000,1999
Correctional Officer,72981,1991
Detective,72924,1994
Detective,72924,1998
Master Patrol Officer,72924,2002
Detective,72924,2000
Dog Handler,72924,1994
Detective,72924,1992
Detective,72924,1997
Dog Handler,72924,1997
Detective,72924,1997
Air Support Mechanic,72924,1991
Detective,72924,1997
Detective,72924,1997
Eod Dog Handler,72924,1996
Detective,72924,1998
Detective,72924,1998
Detective,72924,2000
Detective,72924,1997
Detective,72924,1997
Detective,72924,1997
Detective,72924,1997
Detective,72924,1998
Detective,72924,1998
Detective,72924,1997
Crime Scene Srch Ofr,72924,1998
Detective,72924,1996
Detective,72924,2002
Detective,72924,1997
Detective,72924,1997
Detective,72924,1997
Crime Scene Srch Ofr,72924,1998
Detective,72924,1997
Detective,72924,1997
Crime Scene Srch Ofr,72924,1996
Detective,72924,1997
Detective,72924,1998
Master Patrol Officer,72924,2000
Detective,72924,1997
Detective,72924,1997
Detective,72924,1996
Dog Handler,72924,1998
Invest,72924,1998
Master Patrol Officer,72924,1996
Eod Dog Handler,72924,1997
Detective,72924,1997
Crime Scene Srch Ofr,72924,2001
Detective,72924,1996
Detective,72924,1997
Electronics Technician,72924,2002
Officer Ert Personnel,72924,1998
Detective,72924,1997
Crime Scene Srch Ofr,72924,2001
Detective,72924,1997
Detective,72924,1998
Teacher,72915,2009
Technical Services Specialist,72883,2000
Extension Agent Ii,72883,2004
Financial Aid Counselor,72883,2006
Health & Safety Specialist,72883,2006
Auditor (tax),72879,1999
Correctional Treatment Specialist,72863,1984
Assistant Watch Commander,72764,1987
Social Services Rep,72764,1987
Const Rep Maintenance,72764,1978
Contract Specialist,72740,2006
Web Developer,72740,2005
Architect (design),72702,1996
"Coord, special Education",72658,2007
Speech Pathologist,72624,2006
Assoc Professor,72606,1975
Trial Attorney,72545,2010
Workers Compensation Recipient,72542,2000
Visiting Associate Professor,72481,2010
Workers Compensation Recipient,72467,1990
Counselor,72424,2005
Counselor,72424,2007
Assoc Professor,72418,2002
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,1999
Sergeant,72388,2001
Sergeant,72388,1994
Sergeant,72388,2000
Sergeant,72388,2000
Sergeant,72388,2001
Sergeant,72388,1997
Sergeant,72388,2001
Sergeant,72388,1998
Sergeant,72388,1999
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,1999
Sergeant,72388,1999
Sergeant,72388,2002
Sergeant,72388,1998
Sergeant,72388,2000
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,1997
Sergeant,72388,2002
Sergeant,72388,1999
Sergeant,72388,1994
Sergeant,72388,2001
Sergeant,72388,2001
Sergeant,72388,1999
Sergeant,72388,2006
Sergeant,72388,2001
Sergeant,72388,1998
Sergeant,72388,1998
Sergeant,72388,1997
Education Specialist,72387,1999
Dean Of Students (et),72387,2006
Dean Of Students (et),72387,2000
"Coord, special Education",72387,2008
Program Coordinator,72387,2010
"Coord, special Education",72387,2000
"Coord, special Education",72387,2001
"Coord, special Education",72387,1999
Program Coordinator,72387,2008
Dean Of Students (et),72387,2010
Coordinator (et),72387,2011
"Coord, special Education",72387,2007
Workers Compensation Recipient,72368,1980
Teacher,72206,2007
Teacher,72206,1997
Teacher,72206,2007
Teacher,72206,2005
Teacher,72206,1998
Teacher,72206,1999
Teacher,72206,1998
Teacher,72206,1998
Teacher,72206,1995
Teacher,72206,1999
Teacher,72206,1997
Teacher,72206,2009
Teacher,72206,2000
Teacher,72206,1993
Teacher,72206,1999
Teacher,72206,1984
Teacher,72206,2008
Teacher,72206,1996
Teacher,72206,2009
Teacher,72206,1996
Teacher,72206,1999
Teacher,72206,1988
Teacher,72206,1995
Teacher,72206,2009
Teacher,72206,2010
Teacher,72206,2009
Teacher,72206,2009
Teacher,72206,2003
Teacher,72206,2008
Teacher,72206,1999
Teacher,72206,2006
Teacher,72206,2008
Teacher,72206,2000
Teacher,72206,1998
Teacher,72206,2008
Teacher,72206,2009
Teacher,72206,1999
Teacher,72206,1999
Teacher,72206,1998
Teacher,72206,1999
Teacher,72206,1999
Teacher,72206,1999
Teacher,72206,1999
Teacher,72206,2005
Teacher,72206,2009
Teacher,72206,1999
Teacher,72206,2000
Teacher,72206,1999
Teacher,72206,1995
Teacher,72206,1999
Teacher,72206,1995
Clinical Care Coor,72199,2006
Staff Assistant,72199,2004
Program Analyst,72199,2007
Solid Waste Program Coord,72199,2007
Investigator,72199,1971
Building Management Specialist,72199,2009
Utility Management Program Specialist,72199,1971
Human Resources Specialist,72199,2005
Committee Director,72199,2007
Program Analyst,72199,1987
Public Affairs Specialist,72199,2010
Information Technology Specialist,72199,2008
Program Specialist,72199,1978
Auditor,72199,2006
Project Manager,72199,2010
Investigator,72199,2001
Program Specialist,72199,1982
Case Management Coor,72199,1990
Program Analyst,72199,2007
Consumer Outreach Specialist,72199,1993
Invest Eeo,72199,2000
Program Specialist,72199,1997
School Garden Specialist,72199,2011
Program Specialist,72199,2008
Information Technology Specialist,72199,2002
Management Liaison Specialist,72199,1959
Investigator,72199,2002
Hlth Srvs Program Specialist,72199,2006
Training Specialist,72199,1998
Project Manager,72199,2009
Social Worker,72181,1995
Social Worker,72181,1999
Social Worker,72181,1991
Social Worker,72181,1996
Social Worker,72181,2006
Social Worker,72181,1998
Social Worker,72181,1998
Social Worker,72181,1999
Social Worker,72181,1997
Social Worker,72181,1995
Social Worker,72181,1999
Social Worker,72181,1999
Social Worker,72181,1998
Social Worker,72181,1998
Social Worker,72181,1998
Social Worker,72181,2001
Social Worker,72181,1997
Social Worker,72181,1996
Sanitarian,72181,1985
Sanitarian,72181,1977
Social Worker,72181,2002
Social Worker,72181,1999
Social Worker,72181,1998
Social Worker,72181,1999
Social Worker,72181,1996
Social Worker,72181,1998
Social Worker,72181,2003
Social Worker,72181,2001
Social Worker,72181,1999
Social Worker,72181,1999
Social Worker,72181,1996
Workers Compensation Recipient,72164,1970
Firefighter Emt,72125,1986
Firefighter,72125,1991
Firefighter Emt,72125,1987
Firefighter,72125,1987
Firefighter,72125,1991
Firefighter,72125,1989
Firefighter,72125,1990
Firefighter,72125,1989
Firefighter,72125,1989
Firefighter Emt,72125,1979
Firefighter Emt,72125,1995
Firefighter,72125,1988
Firefighter Emt,72125,1991
Firefighter,72125,1989
Firefighter,72125,1988
Firefighter,72125,1986
Firefighter,72125,1988
Firefighter,72125,1991
Firefighter,72125,1988
Firefighter,72125,1989
Firefighter Emt,72125,1987
Firefighter,72125,1989
Firefighter,72125,1989
Firefighter,72125,1989
Firefighter,72125,1988
Firefighter Emt,72125,1987
Firefighter,72125,1989
Firefighter,72125,1989
Firefighter,72125,1989
Firefighter,72125,1991
Firefighter,72125,1988
Firefighter,72125,1989
Firefighter,72125,1987
Program Analyst,72100,2011
Attorney Advisor,72100,2010
Capital Budget Analyst,72100,2010
Community Grants Coordinator,72100,2008
Attorney Advisor,72100,2007
Attorney Advisor,72100,2011
Budget Analyst,72100,2011
Attorney Advisor,72100,2007
Research Analyst,72100,2011
Attorney Advisor,72100,2004
Police Officer,72065,2006
Pathologists' Assistant,72065,2006
Public Affairs Specialist,72010,2006
Auditor,72010,2006
Special Projects Coordinator,72010,2007
Investigator,72010,2011
Community Planner,72010,2008
Program Analyst,72010,2008
Policy Analyst,72010,2010
Executive Assistant,72010,2004
Criminal Investigator,72010,2007
Auditor,72010,2009
Contract Specialist,72010,2008
Human Resources Spec Class,72010,2007
Management Analyst,72010,1994
Legislative Counsel,72010,2003
Quality Improvement Coordinato,72010,2010
Home And Comm Based Svcs Coord,72010,2011
Transport Planner (mass Trans,72010,2008
Program Coordinator,72010,2004
Management Liaison Specialist,72010,1977
Grants And Contracts Managemen,72010,1987
Administrative Librarian,72010,2001
Administrative Officer,72010,2007
Management Liaison Specialist,72010,2008
Contract Specialist,72010,2008
Education Research Analyst,72010,2005
Program Analyst,72010,2010
Special Assistant,72010,2004
Regulatory Affairs Specialist,72010,2006
Executive Assistant,72010,2005
Microbiologist,72010,2009
Project Manager,72010,2010
Human Resources Specialist Iv,72010,2008
Community Planner,72010,2010
Grants Program Specialist,72010,2007
Toxicologist,72010,2010
Program Analyst,72010,2011
Management Analyst,72010,2009
Program Coordinator,72010,2005
Management Liaison Specialist,72010,1975
Constituent Services Specialist,72000,2011
Constituent Services Specialist,72000,2007
Psychiatric Nurse,71843,2006
Nurse,71843,2010
Counselor,71801,1999
Transportation Spec (traff Op),71796,2002
Victim Witness Program Specialist,71796,2008
Paralegal Specialist,71796,2008
Paralegal Specialist,71796,2002
Paralegal Specialist,71796,1999
Auditor (tax),71796,2007
Paralegal Specialist,71796,2001
Real Property Program Speciali,71796,1983
Auditor (tax),71796,2005
Contract Specialist,71796,1984
Transportation Engineer,71796,2006
Civil Engineer,71796,2007
Social Worker,71796,2006
Environmental Protection Speci,71796,2002
Banking Examiner,71796,2008
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
